agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
77,True,17.549,15247.0,460.0,460.0,True,17.124,15247.0,460.0,460.0,True,19.743,15247,460,460,True,19.902,15247,460,460
78,True,17.523,15288.0,460.0,460.0,True,17.209,15288.0,460.0,460.0,True,19.338,15288,460,460,True,20.423,15288,460,460
79,True,17.259,15314.0,460.0,460.0,True,17.085,15314.0,460.0,460.0,True,19.465,15314,460,460,True,19.911,15314,460,460
80,True,18.352,15743.0,460.0,460.0,True,17.449,15743.0,460.0,460.0,True,20.203,15743,460,460,True,20.772,15743,460,460
81,True,18.021,16062.0,460.0,460.0,True,17.307,16062.0,460.0,460.0,True,20.272,16062,460,460,True,20.112,16062,460,460
82,True,17.977,16209.0,460.0,460.0,True,17.284,16209.0,460.0,460.0,True,20.602,16209,460,460,True,20.641,16209,460,460
83,True,18.089,16316.0,460.0,460.0,True,17.442,16316.0,460.0,460.0,True,20.853,16316,460,460,True,20.536,16316,460,460
84,True,18.204,16569.0,460.0,460.0,True,17.349,16569.0,460.0,460.0,True,20.295,16569,460,460,True,20.608,16569,460,460
85,True,17.927,16651.0,460.0,460.0,True,17.61,16651.0,460.0,460.0,True,20.762,16651,460,460,True,20.803,16651,460,460
86,True,18.072,16828.0,460.0,460.0,True,17.549,16828.0,460.0,460.0,True,20.146,16828,460,460,True,20.628,16828,460,460
87,True,19.086,16942.0,460.0,460.0,True,17.775,16942.0,460.0,460.0,True,21.062,16942,460,460,True,20.839,16942,460,460
88,True,18.615,16987.0,460.0,460.0,True,17.937,16987.0,460.0,460.0,True,21.47,16987,460,460,True,21.369,16987,460,460
89,True,18.588,17245.0,460.0,460.0,True,18.468,17245.0,460.0,460.0,True,21.017,17245,460,460,True,21.268,17245,460,460
90,True,19.236,17700.0,460.0,460.0,True,18.169,17700.0,460.0,460.0,True,21.21,17700,460,460,True,21.236,17700,460,460
91,True,19.299,18136.0,460.0,460.0,True,18.534,18136.0,460.0,460.0,True,21.319,18136,460,460,True,21.796,18136,460,460
92,True,19.696,18552.0,460.0,460.0,True,18.274,18552.0,460.0,460.0,True,21.69,18552,460,460,True,21.565,18552,460,460
93,True,26.374,18574.0,460.0,460.0,True,25.15,18574.0,460.0,460.0,True,29.84,18574,460,460,True,30.272,18574,460,460
94,True,26.647,18771.0,460.0,460.0,True,25.416,18771.0,460.0,460.0,True,29.382,18771,460,460,True,30.115,18771,460,460
95,True,26.806,18997.0,460.0,460.0,True,26.307,18997.0,460.0,460.0,True,30.283,18997,460,460,True,30.552,18997,460,460
96,True,26.617,19195.0,460.0,460.0,True,25.191,19195.0,460.0,460.0,True,30.356,19195,460,460,True,29.833,19195,460,460
97,True,27.679,19622.0,460.0,460.0,True,25.579,19622.0,460.0,460.0,True,30.501,19622,460,460,True,30.294,19622,460,460
98,True,27.47,19698.0,460.0,460.0,True,26.268,19698.0,460.0,460.0,True,30.701,19698,460,460,True,30.553,19698,460,460
99,True,27.438,20077.0,460.0,460.0,True,26.375,20077.0,460.0,460.0,True,30.717,20077,460,460,True,30.745,20077,460,460
100,True,27.168,20155.0,460.0,460.0,True,26.387,20155.0,460.0,460.0,True,30.434,20155,460,460,True,30.87,20155,460,460
101,True,27.93,20562.0,460.0,460.0,True,26.41,20562.0,460.0,460.0,True,31.075,20562,460,460,True,30.989,20562,460,460
102,True,27.884,20717.0,460.0,460.0,True,26.532,20717.0,460.0,460.0,True,31.025,20717,460,460,True,31.483,20717,460,460
103,True,28.052,20989.0,460.0,460.0,True,26.998,20989.0,460.0,460.0,True,31.729,20989,460,460,True,31.5,20989,460,460
104,True,28.552,21254.0,460.0,460.0,True,26.867,21254.0,460.0,460.0,True,31.701,21254,460,460,True,30.93,21254,460,460
105,True,28.544,21396.0,460.0,460.0,True,27.145,21396.0,460.0,460.0,True,31.53,21396,460,460,True,31.357,21396,460,460
106,True,28.93,21759.0,460.0,460.0,True,26.924,21759.0,460.0,460.0,True,32.57,21759,460,460,True,31.844,21759,460,460
107,True,28.449,22070.0,460.0,460.0,True,27.202,22070.0,460.0,460.0,True,31.938,22070,460,460,True,31.979,22070,460,460
108,True,29.105,22495.0,460.0,460.0,True,28.334,22495.0,460.0,460.0,True,33.166,22495,460,460,True,33.115,22495,460,460
109,True,27.353,22699.0,460.0,460.0,True,26.455,22699.0,460.0,460.0,True,31.735,22699,460,460,True,31.29,22699,460,460
110,True,26.971,23001.0,460.0,460.0,True,27.183,23001.0,460.0,460.0,True,31.616,23001,460,460,True,31.583,23001,460,460
111,True,27.468,23375.0,460.0,460.0,True,26.822,23375.0,460.0,460.0,True,32.604,23375,460,460,True,31.434,23375,460,460
112,True,28.932,23629.0,460.0,460.0,True,28.853,23629.0,460.0,460.0,True,34.489,23629,460,460,True,34.266,23629,460,460
113,True,29.457,23820.0,460.0,460.0,True,28.997,23820.0,460.0,460.0,True,34.021,23820,460,460,True,34.5,23820,460,460
114,True,29.589,24019.0,460.0,460.0,True,29.172,24019.0,460.0,460.0,True,34.756,24019,460,460,True,34.47,24019,460,460
115,True,29.936,24287.0,460.0,460.0,True,29.35,24287.0,460.0,460.0,True,33.807,24287,460,460,True,34.984,24287,460,460
116,True,29.958,24410.0,460.0,460.0,True,29.427,24410.0,460.0,460.0,True,34.434,24410,460,460,True,35.03,24410,460,460
